dataset,column,dtype_inferred,non_null,nulls,null_rate
Train,Provider,string[pyarrow],5410,0,0.0
Train,PotentialFraud,string[pyarrow],5410,0,0.0
Beneficiary,BeneID,string[pyarrow],138556,0,0.0
Beneficiary,DOB,datetime64[ns],138556,0,0.0
Beneficiary,DOD,datetime64[ns],1421,137135,0.9897442189439649
Beneficiary,Gender,int64[pyarrow],138556,0,0.0
Beneficiary,Race,int64[pyarrow],138556,0,0.0
Beneficiary,RenalDiseaseIndicator,string[pyarrow],138556,0,0.0
Beneficiary,State,int64[pyarrow],138556,0,0.0
Beneficiary,County,int64[pyarrow],138556,0,0.0
Beneficiary,NoOfMonths_PartACov,int64[pyarrow],138556,0,0.0
Beneficiary,NoOfMonths_PartBCov,int64[pyarrow],138556,0,0.0
Beneficiary,ChronicCond_Alzheimer,int64[pyarrow],138556,0,0.0
Beneficiary,ChronicCond_Heartfailure,int64[pyarrow],138556,0,0.0
Beneficiary,ChronicCond_KidneyDisease,int64[pyarrow],138556,0,0.0
Beneficiary,ChronicCond_Cancer,int64[pyarrow],138556,0,0.0
Beneficiary,ChronicCond_ObstrPulmonary,int64[pyarrow],138556,0,0.0
Beneficiary,ChronicCond_Depression,int64[pyarrow],138556,0,0.0
Beneficiary,ChronicCond_Diabetes,int64[pyarrow],138556,0,0.0
Beneficiary,ChronicCond_IschemicHeart,int64[pyarrow],138556,0,0.0
Beneficiary,ChronicCond_Osteoporasis,int64[pyarrow],138556,0,0.0
Beneficiary,ChronicCond_rheumatoidarthritis,int64[pyarrow],138556,0,0.0
Beneficiary,ChronicCond_stroke,int64[pyarrow],138556,0,0.0
Beneficiary,IPAnnualReimbursementAmt,int64[pyarrow],138556,0,0.0
Beneficiary,IPAnnualDeductibleAmt,int64[pyarrow],138556,0,0.0
Beneficiary,OPAnnualReimbursementAmt,int64[pyarrow],138556,0,0.0
Beneficiary,OPAnnualDeductibleAmt,int64[pyarrow],138556,0,0.0
Inpatient,BeneID,string[pyarrow],40474,0,0.0
Inpatient,ClaimID,string[pyarrow],40474,0,0.0
Inpatient,ClaimStartDt,datetime64[ns],40474,0,0.0
Inpatient,ClaimEndDt,datetime64[ns],40474,0,0.0
Inpatient,Provider,string[pyarrow],40474,0,0.0
Inpatient,InscClaimAmtReimbursed,int64[pyarrow],40474,0,0.0
Inpatient,AttendingPhysician,string[pyarrow],40362,112,0.002767208578346593
Inpatient,OperatingPhysician,string[pyarrow],23830,16644,0.41122696051786334
Inpatient,OtherPhysician,string[pyarrow],4690,35784,0.8841231407817364
Inpatient,AdmissionDt,datetime64[ns],40474,0,0.0
Inpatient,ClmAdmitDiagnosisCode,string[pyarrow],40474,0,0.0
Inpatient,DeductibleAmtPaid,int64[pyarrow],39575,899,0.022211790285121314
Inpatient,DischargeDt,datetime64[ns],40474,0,0.0
Inpatient,DiagnosisGroupCode,string[pyarrow],40474,0,0.0
Inpatient,ClmDiagnosisCode_1,string[pyarrow],40474,0,0.0
Inpatient,ClmDiagnosisCode_2,string[pyarrow],40248,226,0.005583831595592232
Inpatient,ClmDiagnosisCode_3,string[pyarrow],39798,676,0.01670208034787765
Inpatient,ClmDiagnosisCode_4,string[pyarrow],38940,1534,0.037900874635568516
Inpatient,ClmDiagnosisCode_5,string[pyarrow],37580,2894,0.07150269308691999
Inpatient,ClmDiagnosisCode_6,string[pyarrow],35636,4838,0.119533527696793
Inpatient,ClmDiagnosisCode_7,string[pyarrow],33216,7258,0.17932499876463903
Inpatient,ClmDiagnosisCode_8,string[pyarrow],30532,9942,0.24563917576715916
Inpatient,ClmDiagnosisCode_9,string[pyarrow],26977,13497,0.33347334091021397
Inpatient,ClmDiagnosisCode_10,string[pyarrow],3927,36547,0.9029747492217226
Inpatient,ClmProcedureCode_1,int64[pyarrow],23148,17326,0.4280772841824381
Inpatient,ClmProcedureCode_2,int64[pyarrow],5454,35020,0.8652468251223008
Inpatient,ClmProcedureCode_3,int64[pyarrow],965,39509,0.9761575332312101
Inpatient,ClmProcedureCode_4,int64[pyarrow],116,40358,0.9971339625438553
Inpatient,ClmProcedureCode_5,int64[pyarrow],9,40465,0.9997776350249543
Inpatient,ClmProcedureCode_6,null[pyarrow],0,40474,1.0
Outpatient,BeneID,string[pyarrow],517737,0,0.0
Outpatient,ClaimID,string[pyarrow],517737,0,0.0
Outpatient,ClaimStartDt,datetime64[ns],517737,0,0.0
Outpatient,ClaimEndDt,datetime64[ns],517737,0,0.0
Outpatient,Provider,string[pyarrow],517737,0,0.0
Outpatient,InscClaimAmtReimbursed,int64[pyarrow],517737,0,0.0
Outpatient,AttendingPhysician,string[pyarrow],516341,1396,0.00269634969105936
Outpatient,OperatingPhysician,string[pyarrow],90617,427120,0.824974842439308
Outpatient,OtherPhysician,string[pyarrow],195046,322691,0.6232720473908567
Outpatient,ClmDiagnosisCode_1,string[pyarrow],507284,10453,0.02018978747897098
Outpatient,ClmDiagnosisCode_2,string[pyarrow],322357,195380,0.3773730677931073
Outpatient,ClmDiagnosisCode_3,string[pyarrow],203257,314480,0.6074126438713092
Outpatient,ClmDiagnosisCode_4,string[pyarrow],125596,392141,0.7574135130384732
Outpatient,ClmDiagnosisCode_5,string[pyarrow],74344,443393,0.856405858572982
Outpatient,ClmDiagnosisCode_6,string[pyarrow],48756,468981,0.9058286350019411
Outpatient,ClmDiagnosisCode_7,string[pyarrow],32961,484776,0.9363364024591636
Outpatient,ClmDiagnosisCode_8,string[pyarrow],22912,494825,0.9557458709731003
Outpatient,ClmDiagnosisCode_9,string[pyarrow],14838,502899,0.9713406613782674
Outpatient,ClmDiagnosisCode_10,string[pyarrow],1083,516654,0.9979082043585836
Outpatient,ClmProcedureCode_1,int64[pyarrow],162,517575,0.9996870998209516
Outpatient,ClmProcedureCode_2,int64[pyarrow],36,517701,0.9999304666268781
Outpatient,ClmProcedureCode_3,int64[pyarrow],4,517733,0.9999922740696531
Outpatient,ClmProcedureCode_4,int64[pyarrow],2,517735,0.9999961370348266
Outpatient,ClmProcedureCode_5,null[pyarrow],0,517737,1.0
Outpatient,ClmProcedureCode_6,null[pyarrow],0,517737,1.0
Outpatient,DeductibleAmtPaid,int64[pyarrow],517737,0,0.0
Outpatient,ClmAdmitDiagnosisCode,string[pyarrow],105425,412312,0.7963734482951769
